,user_id,text
0,1073224408.0,мили
1,1016946174.0,я хз как это работает но у нее эта хуйня появилась после того как она начала работать бариста
2,1016946174.0,кстати мне коллега сказала что это база
3,-1001871224871.0,"И ТАК БУДЕТ С КАЖДЫМ 
жду вас в нашей кофейне 🤗"
4,862787766.0,хаххахха туда его
5,-1001871224871.0,"по правилам нам надо извиниться и переделать
но мне насрать иди пей свой вонючий горький кофе"
6,-1001871224871.0,"я уже настолько привыкла к этому, что запоминаю ВСЕ что говорит гость без чеков 

так что иди поплачь в подушку"
7,-1001871224871.0,"я в шоке типа
вы думаете я дура?
если ты проговорил это В УМЕ
не мои проблемы"
8,-1001871224871.0,"- а кофе без сахара чтоли?
- вы не просили сахар
- я просил
- если бы попросили, сахар бы был там)
- НЕТ Я ПРОСИЛ"
9,-1001871224871.0,"день только начался, а я уже посралась с гостем (страшным пузатым армянином)"
10,-1001871224871.0,"люди которые берут в эту жарищу горячий кофе, вы нормальные?

люди которые берут карамельный айс латте на кокосовом, к вам вопросов нет."
11,831938692.0,
12,831938692.0,я 20 лет не знала что у меня непереносимость лактозы пока не сдала анализы
13,1017541933.0,хуй с ними
14,-1001871224871.0,меня начало тошнить от молока на второй день работы в кофейне и я с тех пор ни разу не брала кофе на обычном молоке… а у нас оно НА МИНУТОЧКУ низколактозное
15,-1001871224871.0,"вы знали что у ≈70% людей неперонисмость лактозы?

то есть люди которые берут айс латте на кокосовом не заслужили все эти насмешки… 🥺"
16,-1001871224871.0,😭
17,746802816.0,а ой там 914
18,746802816.0,
19,,"а к чему он пришел
ВЫ АФИГЕЛИ
я не видеоа"
20,746802816.0,5 лет назад у топы расследование было
21,,ТЫХАХАХЫХАХХА
22,992569407.0,"у саны первый раз такое 
от радости аж на канал закинула"
23,992569407.0,за кота тети простят все
24,992569407.0,мне херово
25,992569407.0,отдайте мне
26,992569407.0,АХАХАХ
27,,"ну так видео не о случае, а расследование
мозги включаем не?"
28,1171425897.0,пять лет назад об этом читала
29,-1001871224871.0,"посмотрела теперь страшно 

https://youtu.be/u64urd_0Jj0?si=5T-NrsdCv-SYlkDI"
30,1834486913.0,
31,-1001871224871.0,лето
32,1017541933.0,вот бы у всех было такое мнение
33,-1001871224871.0,
34,,костюм супергероя
35,1017541933.0,стоит мне натянуть эту сумку и я перестаю быть живым человеком для окружающих
36,1017541933.0,я теперь нормально отношусь к курьерам
37,-1001871224871.0,"заказала еды 
она едет час
я уже наелась хлебцами и ниче не хочу"
38,785063118.0,НЕЕЕТ Я СЛУЧАЙНО ПРОПУСТИЛА
39,1073224408.0,а. я подумала это рофл что я диз презентаций
40,,ТАНЯ
41,1073224408.0,твоей курсовой?
42,1017541933.0,ахахаха есть
43,,фри платина
44,326715753.0,я голосую против ибрагима
45,1017541933.0,"чем есть , собой"
46,,там слайды
47,1073224408.0,блин интересно теперь что там в видео
